CODE,Q1,A1,P/F,Q2
21,호텔 등급에 대해 설명해 주세요.,"관광진흥법에 따라 관광호텔업, 수상관광호텔업, 한국전통호텔업, 소형호텔업, 의료관광호텔업으로 등록한 사업자는 등급결정 신청을 하여야 합니다. 호텔업에 대한 등급은 관광진흥법에 따라 1등급, 2등급, 3등급, 4등급, 5등급으로 구분되며, 각 성급은 '별'로 표시합니다.",P,의료관광호텔업을 설명해 주세요.
21,호텔 등급에 대해 설명해 주세요.,"호텔업의 등급결정은 문화체육부장관이 따로 정하여 고시한 호텔업 등급평가기준에 따라 결정되며, 성급별 평가항목에 따른 만점을 기준으로 5성급은 90% 이상, 4성급은 80% 이상, 3성급은 70% 이상, 2성급은 60% 이상, 1성급은 50% 이상의 점수를 획득하여야 합니다.",P,등급평가기준에 대해 설명해 주세요.
21,호텔 등급에 대해 설명해 주세요.,"각 나라마다 차이가 있으며, 우리나라에서는 다이아몬드를 이용해 등급을 표시하고 있습니다. 관광진흥법시행령 제 22조에 의거하고 있으며, 호텔 재량껏 다른 문양을 사용할 수도 있습니다.",F,
21,호텔 등급에 대해 설명해 주세요.,"관광진흥법에 따라 아무나 신청할 수 있으며, 에어비엔비와 같은 숙소 공유업체도 기호에 따라 자유롭게 별을 달 수 있습니다. 별의 개수는 총 5개까지 있으며 가격에 의해 결정됩니다.",F,
21,호텔 등급에 대해 설명해 주세요.,"등급은 국토교통부장관이 선정한 등급평가기준에 따라 결정되며, 가장 좋은 1성급부터 가장 좋지 않은 5등급까지 나뉘어 있습니다. 매달 새롭게 별이 부여되며, 이의신청은 온라인으로 이뤄지게 됩니다.",F,
21,크루즈에 대해 설명해 주세요.,"크루즈는 배를 타고 다니며 휴식과 여행, 항해를 즐기는 선박을 말합니다. 화물을 운송하던 페리들이 승객을 태우기 시작하면서 크루즈 페리가 생겨났고, 여기에 승객을 위한 객실과 음식점·오락시설 등 부대시설이 갖춰지면서 크루즈선의 탄생으로 이어졌습니다. 크루즈 경비에는 모든 식사, 숙박, 선상에서 진행되는 모든 이벤트와 공연 관람료 등이 포함돼 있습니다.",P,선상에서 진행하는 이벤트에 대해 설명해 주세요.
21,크루즈에 대해 설명해 주세요.,2000년대에 들어서면서는 초거대·초호화 크루즈선들이 잇따라 등장하였습니다. 크루즈 관광은 초기에는 부유한 특권계층과 노년층의 전유물로 여겨져 왔으나 최근에는 점차 다양한 계층과 연령을 포괄하면서 대중화되고 있습니다. 크루즈 등급은 선박의 크기가 아니라 선박에서 제공하는 시설과 서비스의 질에 따라 분류됩니다.,P,크루즈가 대중화된 이유를 설명해 주세요.
21,크루즈에 대해 설명해 주세요.,"크루즈는 특별한 경우가 아니라면 보통 10시간 내외의 시간을 한 항구에 정박하는 경우가 많으며, 기항지 관광을 즐길 수도 있고 그냥 선내에 머물며 부대시설을 이용하는 등 자유로운 선택이 가능합니다. 또 크루즈 내부에선 다양한 프로그램들이 진행되기 때문에, 프로그램들을 미리 알고 참여하면 여행에 도움이 됩니다.",P,기항지관광에 대해 설명해 주세요.
21,크루즈에 대해 설명해 주세요.,"크루즈는 자동차 기능 중의 하나이며, 운전자가 따로 조작을 하지 않아도 일정 속도를 유지해주는 기능을 의미합니다. 특히 막히는 도로에서 유용하게 쓸 수 있으며, 운전자의 운전 피로도를 낮춰줍니다.",F,
21,크루즈에 대해 설명해 주세요.,"최근 사양산업으로 들어가고 있으며, 과거 19세기 20세기에는 유람수단으로 인기가 많았지만, 비행기의 등장으로 대폭 영역이 줄어들었습니다. 그 이유로는 낙후된 배의 시설 등이 꼽히고 있습니다.",F,
21,크루즈에 대해 설명해 주세요.,"크루즈는 한 나라의 다양한 항구를 돌아다니는 것을 목표로 합니다. 한국의 경우에는 인천에서 출발하여 부산까지 도착하는 코스가 가장 인기가 많으며, 세계적인 크루즈 코스이기도 합니다.",F,
21,테마파크에 대해 설명해 주세요.,"테마파크는 계절변동성이 높고 기후에 좌우되는 1차 산업적인 특성과 일시에 대규모의 첨단과학기술이 접목된 시설과 유지비 및 자본투자가 필요한 장치산업적 요소가 있는 2차 산업적인 특성, 고도의 서비스와 운영 노하우가 필요한 3차 산업적인 성격을 모두 1차, 2차, 3차 산업이 함께 공존하는 복합적인 종합관광산업입니다.",P,계절변동성에 대해 설명해 주세요.
21,테마파크에 대해 설명해 주세요.,"테마파크는 수요시장의 입지특성이 중요하기 때문에 주로 대도시권에 입지하며, 기후와 계절의 변화에 따라 성수기와 비수기로 구분되어 자연환경에도 민감한 산업입니다. 또한 테마파크는 하드웨어도 중요하지만 전시, 공연, 이벤트 등 빠른 시장 트렌드에 탄력적으로 대응해야 하는 소프트웨어도 중요하기 때문에 감성사업이면서 서비스산업으로서 인적 서비스에 대한 의존도가 매우 높은 산업입니다.",P,인적 서비스에 대한 의존도가 높은 이유를 설명해 주세요.
21,테마파크에 대해 설명해 주세요.,"테마파크 사업을 통해 지역개발 효과, 기업과 지역의 이미지 향상효과, 지역주민의 고용창출과 지역경제 파급효과 등을 기대할 수 있기 때문에 최근에는 지역경제 활성화를 위한 주요 수단으로서 각광을 받고 있습니다. 특히 훌륭한 테마파크는 국가와 해당 지역 차원에서 중요한 관광명소의 역할을 수행하기 때문에, 우리나라와 같이 관광소재가 상대적으로 취약하고 단순한 곳에서는 그 중요성이 더욱 주목을 받고 있습니다.",P,테마파크의 고용창출 효과에 대해 설명해 주세요.
21,테마파크에 대해 설명해 주세요.,"테마마크는 소음 유발로 인한 혐오시설로 분류되며, 노동집약적인 사업입니다. 특히 회전목마와 같은 전통적인 놀이기구에 의지하고 있어 최근에는 다양한 지자체에서 철거를 하는 추세입니다.",F,
21,테마파크에 대해 설명해 주세요.,"한국의 대표적인 테마파크로는 롯데 소유의 에버랜드, 삼성 소유의 경주월드 등이 있습니다. 다양한 놀이기구가 마련되어 있으며, 놀이기구에 타기 위해서는 반드시 자유이용권을 구매해야합니다.",F,
21,테마파크에 대해 설명해 주세요.,"전 세계적으로 인기가 많은 시설이며, 특히 디즈니랜드가 가장 유명합니다. 한국 부산과 서울에서도 디즈니랜드가 성행하고 있으며, 디즈니랜드에 가기 위해서는 따로 여권을 지참해야만합니다.",F,
21,유원지에 대해 설명해 주세요.,"산·강·호수·평야와 같은 자연환경이나 교통·유흥·숙박을 위한 위락시설물로 구성됩니다. 시가지 내에 시설되는 동력오락기계를 주로 하는 것, 도시에서 멀리 떨어진 경치가 좋은 곳에 숙박시설을 갖춘 것 등이 있습니다. 유원지의 시설은 보다 많은 이용자를 유치하기 위해 이용자의 호기심을 자극하고 충족시켜 만족을 줄 수 있도록 계획하고 시설해야 합니다.",P,위락시설물에 대해 설명해 주세요.
21,유원지에 대해 설명해 주세요.,"대체로 스피드·고도·회전 등에 의해 쾌감을 만끽할 수 있는 제트코스터·관람차·워터슈트·달 로켓·비행탑·모노레일·어린이 전차, 환상감을 주는 동화의 나라, 모험심을 돋구는 정글 등이 있습니다. 그밖에 수영장·야구장 같은 체육시설, 휴양시설, 보조시설 등이 갖추어져야 합니다.",P,보조시설의 예제를 설명해 주세요.
21,유원지에 대해 설명해 주세요.,"종전까지만 하여도 유원지는 단순한 오락 공원의 성격을 가졌으나, 현대 산업사회에서 나타나는 다양한 여가 활동을 고려할 때 우리 사회에 필요한 오락·레크리에이션, 그리고 교육 등의 활동이 가능하도록 하는 종합적인 성격을 가지도록 계획되고 있습니다. 대개 민간 기업에 의하여 운영되므로 상업성을 보입니다.",P,유원지가 단순한 오락적 성격이 아닌 종합적인 성격을 가지게 된 계기를 설명해 주세요.
21,유원지에 대해 설명해 주세요.,"유원지란 도시 한복판에 설치된 공원을 의미하는 것으로, 주로 도심지 가운데 설치하여 자연 경관을 향상 시키는 것을 목표로 하고 있습니다. 누구나 설치할 수 있다는 점이 특징입니다.",F,
21,유원지에 대해 설명해 주세요.,"한국에는 과거에 유행한 시설이며, 낙후된 유원지를 점차 없애는 움직임이 일어나고 있습니다. 보통은 숙박시설만을 제공하는 것을 목표로 하고, 체육시설, 휴양시설 등은 법적으로 금지되어 있습니다.",F,
21,유원지에 대해 설명해 주세요.,"국가 주도의 산업이며, 민간 기업이 참여하는 것은 법으로 엄격하게 금지되어 있습니다. 하지만 이를 어기고 몰래 민간 기업이 만들기도 하며, 이 경우 모든 시설과 시설로부터의 이익은 환수됩니다.",F,
21,컨벤션에 대해 설명해 주세요.,"컨벤션은 부가가치가 높은 복합 정보형 전시회나 국제회의를 지칭합니다. 근래에 전시형 이벤트와 구분하기 어려워졌습니다. 컨벤션의 개최와 동시에 방문객의 흥미 유도와 다양한 소통을 위해 전시회가 진행되고, 볼거리를 위한 전시적인 요소와 이벤트 프로그램이 병행되기 때문입니다.",P,정보형 전시회의 특징을 설명해 주세요.
21,컨벤션에 대해 설명해 주세요.,"컨벤션은 마이스 비즈니스 분야 중 가장 잘 알려진 개념입니다. 마이스의 주된 구성 요소는 주로 회의 이벤트가 차지하고 있기 때문에 컨벤션이 마이스의 주축을 이루는 것은 자연스러운 일이며, 주로 컨벤션 분야를 중심으로 마이스 산업이 발전하고 있는 것도 당연한 현상입니다.",P,컨벤션과 마이스 산업의 관계를 설명해 주세요.
21,컨벤션에 대해 설명해 주세요.,"일반적으로 컨벤션은 특별한 문제를 토론하기 위한 회의를 의미합니다. 좀 더 구체적으로 특별한 목적을 달성하기 위한 사회단체, 정당 회원 간의 회의, 사업이나 무역 회의, 통상적으로 공인된 단체나 3개국 이상의 대표가 참가하는 정기적 또는 비정기적 회의라고 정의할 수 있습니다.",P,무역 회의 예제를 설명해 주세요.
21,컨벤션에 대해 설명해 주세요.,"컨벤션은 부가가치가 낮은 단기성 국제 회의를 지칭합니다. 보통은 물건을 팔기 위한 상업적 성격을 강하게 띄고 있으며, 방문객 또한 방문하지 않기에 단기적으로 개폐하는 특징이 있습니다.",F,
21,컨벤션에 대해 설명해 주세요.,"컨벤션은 국내와 국제 컨벤션으로 나뉘게 되는데, 이 중에서 경제성이 높은 것은 국내에서 활발하게 진행되는 국내 컨벤션입니다. 다양한 국내 기업들이 참여하고, 언어의 장벽이 없기 때문입니다.",F,
21,컨벤션에 대해 설명해 주세요.,"대도시마다 설치된 컨벤션 센터는 컨벤션이 개최되기 위해 지어진 것으로, 통상적으로 대규모의 컨벤션이 끝나고 나면 일절 유예기간 없이 부지 활용을 위해 즉각적으로 철거되는 특징을 가지고 있습니다.",F,
21,컨벤션의 효과와 중요성에 대해 설명해 주세요.,"매스미디어에 의한 일방적, 간접적인 정보 교류보다는 컨벤션을 통한 현장 체험과 함께 직접적이면서 흥미 있는 정보 교류 방식이 더 중요하게 여겨지고 있습니다. 컨벤션의 특징은 직접 정보 전달 수단이 갖는 효율성 있는 정보 전달의 충실성, 정보 효율성의 향상, 정보 전달 횟수의 절약, 정보 창조 가능성 확대로 요약됩니다. ",P,정보 전달 횟수의 절약에 대해 설명해 주세요.
21,컨벤션의 효과와 중요성에 대해 설명해 주세요.,"컨벤션 산업은 서비스 산업으로서 고용을 창출하고, 지역 경제를 활성화시키며, 외화 획득과 세수 증대를 가져오는 고부가가치 산업입니다. 그뿐만 아니라 개최 지역을 국제적으로 알리고 지역사회의 이미지를 개선해 지역 발전에 순기능을 합니다. 세계화, 개방화 추세에 걸맞은 지역 경쟁력을 갖추기 위해 컨벤션 산업의 수요는 점차 증가하고 있습니다.",P,컨벤션 산업의 세수 증대 효과에 대해 설명해 주세요.
21,컨벤션의 효과와 중요성에 대해 설명해 주세요.,"세계 각국은 컨벤션의 중요성을 인식해 국가 차원에서 유치 지원을 강화하고 있으며, 유치된 각종 행사가 원활하게 개최될 수 있는 대형 컨벤션 센터를 건립하는 등 환경 조성에 적극 투자하고 있습니다. 즉, 컨벤션 개최에 따른 파급효과의 극대화를 도모하고 있는 것입니다.",P,대형 컨벤션 센터의 예제를 설명해 주세요.
21,컨벤션의 효과와 중요성에 대해 설명해 주세요.,"컨벤션의 효과로는 도시의 국제적인 위상을 높일 수 있다는 것입니다. 물론 컨벤션으로 인해 재정지출이 발생되게 되고, 경제적으로는 큰 손해를 입게 되지만, 도시의 명예를 획득할 수 있습니다.",F,
21,컨벤션의 효과와 중요성에 대해 설명해 주세요.,"컨벤션은 정보 교류를 주 목적으로 하며, 공간적 한계가 있는 현장 체험보다는 간단하게 간접적으로 할 수 있는 메일 송부, 인터넷 홈페이지 운영이 더 효과적인 것으로 알려져 있습니다. ",F,
